calltry,date,time,duration,lastprompt,UID,village,Treatment,month,date,year
1,8/24/2011,8/24/11 13:00,N/A,N/A,1010036,HIRASAR,1,8,24,11
1,8/24/2011,8/24/11 13:00,N/A,N/A,1011008,KANDHASAR,1,8,24,11
1,8/24/2011,8/24/11 13:00,N/A,N/A,1011001,KANDHASAR,1,8,24,11
1,8/24/2011,8/24/11 13:01,215,thankyou.wav,1011002,KANDHASAR,1,8,24,11
1,8/24/2011,8/24/11 13:01,242,thankyou.wav,1011005,KANDHASAR,1,8,24,11
1,8/24/2011,8/24/11 13:01,214,thankyou.wav,1011010,KANDHASAR,1,8,24,11
1,8/24/2011,8/24/11 13:01,215,thankyou.wav,1011009,KANDHASAR,1,8,24,11
1,8/24/2011,8/24/11 13:01,215,thankyou.wav,1011006,KANDHASAR,2,8,24,11
1,8/24/2011,8/24/11 13:10,N/A,N/A,1011031,KANDHASAR,2,8,24,11
1,8/24/2011,8/24/11 13:10,N/A,N/A,1011018,KANDHASAR,2,8,24,11
1,8/24/2011,8/24/11 13:10,215,thankyou.wav,1011024,KANDHASAR,1,8,24,11
1,8/24/2011,8/24/11 13:10,214,thankyou.wav,1011021,KANDHASAR,2,8,24,11
1,8/24/2011,8/24/11 13:10,143,08-24-2011_105411.mp3,1011017,KANDHASAR,1,8,24,11
1,8/24/2011,8/24/11 13:10,N/A,N/A,1011012,KANDHASAR,2,8,24,11
1,8/24/2011,8/24/11 13:10,N/A,N/A,1011028,KANDHASAR,2,8,24,11
1,8/24/2011,8/24/11 13:11,215,thankyou.wav,1011019,KANDHASAR,1,8,24,11
1,8/24/2011,8/24/11 13:11,214,thankyou.wav,1011033,KANDHASAR,2,8,24,11
1,8/24/2011,8/24/11 13:11,6,"1314171645	9879477450	7930142000	1314171668	Prompt",1011027,KANDHASAR,2,8,24,11
1,8/24/2011,8/24/11 13:20,212,thankyou.wav,1016005,KHERANA,1,8,24,11
1,8/24/2011,8/24/11 13:20,N/A,N/A,1016006,KHERANA,2,8,24,11
1,8/24/2011,8/24/11 13:20,N/A,N/A,1016004,KHERANA,2,8,24,11
1,8/24/2011,8/24/11 13:20,215,thankyou.wav,1016007,KHERANA,1,8,24,11
1,8/24/2011,8/24/11 13:20,214,thankyou.wav,1011036,KANDHASAR,2,8,24,11
1,8/24/2011,8/24/11 13:20,215,thankyou.wav,1016002,KHERANA,1,8,24,11
1,8/24/2011,8/24/11 13:20,2,welcome.wav,1011039,KANDHASAR,2,8,24,11
1,8/24/2011,8/24/11 13:20,215,thankyou.wav,1016010,KHERANA,1,8,24,11
1,8/24/2011,8/24/11 13:21,214,thankyou.wav,1016009,KHERANA,2,8,24,11
1,8/24/2011,8/24/11 13:21,215,thankyou.wav,1016011,KHERANA,1,8,24,11
1,8/24/2011,8/24/11 13:30,N/A,N/A,1016015,KHERANA,2,8,24,11
1,8/24/2011,8/24/11 13:30,215,thankyou.wav,1016019,KHERANA,1,8,24,11
1,8/24/2011,8/24/11 13:30,215,thankyou.wav,1016012,KHERANA,2,8,24,11
1,8/24/2011,8/24/11 13:30,N/A,N/A,1016024,KHERANA,1,8,24,11
1,8/24/2011,8/24/11 13:30,N/A,N/A,1016014,KHERANA,2,8,24,11
1,8/24/2011,8/24/11 13:30,213,thankyou.wav,1016016,KHERANA,1,8,24,11
1,8/24/2011,8/24/11 13:30,N/A,N/A,1016013,KHERANA,1,8,24,11
1,8/24/2011,8/24/11 13:30,N/A,N/A,1016026,KHERANA,2,8,24,11
1,8/24/2011,8/24/11 13:31,215,thankyou.wav,1016020,KHERANA,2,8,24,11
1,8/24/2011,8/24/11 13:31,215,thankyou.wav,1016025,KHERANA,1,8,24,11
1,8/24/2011,8/24/11 13:40,N/A,N/A,1019006,LAKHCHOKIYA,2,8,24,11
1,8/24/2011,8/24/11 13:40,215,thankyou.wav,1019002,LAKHCHOKIYA,1,8,24,11
1,8/24/2011,8/24/11 13:40,215,thankyou.wav,1016037,KHERANA,2,8,24,11
1,8/24/2011,8/24/11 13:41,215,thankyou.wav,1019004,LAKHCHOKIYA,2,8,24,11
1,8/24/2011,8/24/11 13:41,215,thankyou.wav,1019010,LAKHCHOKIYA,1,8,24,11
1,8/24/2011,8/24/11 13:41,199,08-24-2011_105411.mp3,1019003,LAKHCHOKIYA,2,8,24,11
1,8/24/2011,8/24/11 13:41,215,thankyou.wav,1016034,KHERANA,2,8,24,11
1,8/24/2011,8/24/11 13:41,215,thankyou.wav,1019015,LAKHCHOKIYA,1,8,24,11
1,8/24/2011,8/24/11 13:41,4,welcome.wav,1019009,LAKHCHOKIYA,1,8,24,11
1,8/24/2011,8/24/11 13:41,215,thankyou.wav,1019005,LAKHCHOKIYA,2,8,24,11
1,8/24/2011,8/24/11 13:50,N/A,N/A,1019029,LAKHCHOKIYA,1,8,24,11
1,8/24/2011,8/24/11 13:50,N/A,N/A,1019030,LAKHCHOKIYA,2,8,24,11
1,8/24/2011,8/24/11 13:50,N/A,N/A,1019023,LAKHCHOKIYA,2,8,24,11
1,8/24/2011,8/24/11 13:50,N/A,N/A,1019031,LAKHCHOKIYA,2,8,24,11
1,8/24/2011,8/24/11 13:50,N/A,N/A,1019022,LAKHCHOKIYA,1,8,24,11
1,8/24/2011,8/24/11 13:50,214,thankyou.wav,1019019,LAKHCHOKIYA,2,8,24,11
1,8/24/2011,8/24/11 13:50,N/A,N/A,1019016,LAKHCHOKIYA,2,8,24,11
1,8/24/2011,8/24/11 13:50,215,thankyou.wav,1019021,LAKHCHOKIYA,1,8,24,11
